tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8
Phaeocystaceae,Phaeocystales,rank_6,Phaeocystaceae,Root,nucleus,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,,
Phaeocystis,Phaeocystaceae,rank_7,Phaeocystis,Root,nucleus,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,
Phaeocystis_antarctica,Phaeocystis,rank_8,Phaeocystis_antarctica,Root,nucleus,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_antarctica
Pelagophyceae,Ochrophyta,rank_4,Pelagophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,,,,
Pelagomonadales,Pelagophyceae,rank_5,Pelagomonadales,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,,,
Pelagomonadaceae,Pelagomonadales,rank_6,Pelagomonadaceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,,
Pelagomonas_sp.,Pelagomonadaceae,rank_7,Pelagomonas_sp.,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Pelagomonas_sp.,
Bangiophyceae,Rhodophyta,rank_4,Bangiophyceae,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,,,,
Bangiales,Bangiophyceae,rank_5,Bangiales,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,,,
Bangiaceae,Bangiales,rank_6,Bangiaceae,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,,
Pyropia,Bangiaceae,rank_7,Pyropia,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,
Pyropia_yezoensis,Pyropia,rank_8,Pyropia_yezoensis,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia_yezoensis
Corallinales,Florideophyceae,rank_5,Corallinales,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Corallinales,,,
Corallinaceae,Corallinales,rank_6,Corallinaceae,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,,
Calliarthron,Corallinaceae,rank_7,Calliarthron,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,
Calliarthron_tuberculosum,Calliarthron,rank_8,Calliarthron_tuberculosum,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,Calliarthron_tuberculosum
Cyanidiales,Bangiophyceae,rank_5,Cyanidiales,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Cyanidiales,,,
Cyanidiales_X,Cyanidiales,rank_6,Cyanidiales_X,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiales_X,,
Galdieria,Cyanidiales_X,rank_7,Galdieria,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiales_X,Galdieria,
Galdieria_sulphuraria,Galdieria,rank_8,Galdieria_sulphuraria,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiales_X,Galdieria,Galdieria_sulphuraria
Apicomplexa,Alveolata,rank_3,Apicomplexa,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,,,,,
Colpodellidea,Apicomplexa,rank_4,Colpodellidea,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,,,,
Colpodellida,Colpodellidea,rank_5,Colpodellida,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,,,
Chromeraceae,Colpodellida,rank_6,Chromeraceae,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,Chromeraceae,,
Chromera,Chromeraceae,rank_7,Chromera,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,Chromeraceae,Chromera,
Chromera_velia,Chromera,rank_8,Chromera_velia,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,Chromeraceae,Chromera,Chromera_velia
Glaucophyta,Archaeplastida,rank_3,Glaucophyta,Root,nucleus,Eukaryota,Archaeplastida,Glaucophyta,,,,,
Glaucocystophyceae,Glaucophyta,rank_4,Glaucocystophyceae,Root,nucleus,Eukaryota,Archaeplastida,Glaucophyta,Glaucocystophyceae,,,,
Glaucocystophytes,Glaucocystophyceae,rank_5,Glaucocystophytes,Root,nucleus,Eukaryota,Archaeplastida,Glaucophyta,Glaucocystophyceae,Glaucocystophytes,,,
Cyanophoraceae,Glaucocystophytes,rank_6,Cyanophoraceae,Root,nucleus,Eukaryota,Archaeplastida,Glaucophyta,Glaucocystophyceae,Glaucocystophytes,Cyanophoraceae,,
Cyanophora,Cyanophoraceae,rank_7,Cyanophora,Root,nucleus,Eukaryota,Archaeplastida,Glaucophyta,Glaucocystophyceae,Glaucocystophytes,Cyanophoraceae,Cyanophora,
Cyanophora_paradoxa,Cyanophora,rank_8,Cyanophora_paradoxa,Root,nucleus,Eukaryota,Archaeplastida,Glaucophyta,Glaucocystophyceae,Glaucocystophytes,Cyanophoraceae,Cyanophora,Cyanophora_paradoxa
Cyanidioschyzon,Cyanidiales_X,rank_7,Cyanidioschyzon,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiales_X,Cyanidioschyzon,
Cyanidioschyzon_merolae,Cyanidioschyzon,rank_8,Cyanidioschyzon_merolae,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiales_X,Cyanidioschyzon,Cyanidioschyzon_merolae
Aureococcus,Pelagomonadaceae,rank_7,Aureococcus,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,
Aureococcus_anophagefferens,Aureococcus,rank_8,Aureococcus_anophagefferens,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,Aureococcus_anophagefferens
Gigartinales,Florideophyceae,rank_5,Gigartinales,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gigartinales,,,
Gigartinales_X,Gigartinales,rank_6,Gigartinales_X,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gigartinales,Gigartinales_X,,
Chondrus,Gigartinales_X,rank_7,Chondrus,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gigartinales,Gigartinales_X,Chondrus,
Chondrus_crispus,Chondrus,rank_8,Chondrus_crispus,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gigartinales,Gigartinales_X,Chondrus,Chondrus_crispus
Fistulifera_sp.,Raphid-pennate,rank_7,Fistulifera_sp.,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Fistulifera_sp.,
Vitrelladida,Colpodellidea,rank_5,Vitrelladida,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Vitrelladida,,,
Vitrellaceae,Vitrelladida,rank_6,Vitrellaceae,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Vitrelladida,Vitrellaceae,,
Vitrella,Vitrellaceae,rank_7,Vitrella,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Vitrelladida,Vitrellaceae,Vitrella,
Vitrella_brassicaformis,Vitrella,rank_8,Vitrella_brassicaformis,Root,nucleus,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Vitrelladida,Vitrellaceae,Vitrella,Vitrella_brassicaformis
Polar-centric-Mediophyceae,Bacillariophyta_X,rank_6,Polar-centric-Mediophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,,
Thalassiosira,Polar-centric-Mediophyceae,rank_7,Thalassiosira,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,
Thalassiosira_pseudonana,Thalassiosira,rank_8,Thalassiosira_pseudonana,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,Thalassiosira_pseudonana
Saccharina,Phaeophyceae_XX,rank_7,Saccharina,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Saccharina,
Saccharina_japonica,Saccharina,rank_8,Saccharina_japonica,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Saccharina,Saccharina_japonica
Cyanidium,Cyanidiales_X,rank_7,Cyanidium,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiales_X,Cyanidium,
Cyanidium_caldarium,Cyanidium,rank_8,Cyanidium_caldarium,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiales_X,Cyanidium,Cyanidium_caldarium
Peridiniales,Dinophyceae,rank_5,Peridiniales,Root,nucleus,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,,,
Kryptoperidiniaceae,Peridiniales,rank_6,Kryptoperidiniaceae,Root,nucleus,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,,
Durinskia,Kryptoperidiniaceae,rank_7,Durinskia,Root,nucleus,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Durinskia,
Durinskia_baltica,Durinskia,rank_8,Durinskia_baltica,Root,nucleus,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Durinskia,Durinskia_baltica
Sarcinochrysidales,Pelagophyceae,rank_5,Sarcinochrysidales,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Sarcinochrysidales,,,
Sarcinochrysidaceae,Sarcinochrysidales,rank_6,Sarcinochrysidaceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidaceae,,
Aureoumbra,Sarcinochrysidaceae,rank_7,Aureoumbra,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidaceae,Aureoumbra,
Aureoumbra_lagunensis,Aureoumbra,rank_8,Aureoumbra_lagunensis,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidaceae,Aureoumbra,Aureoumbra_lagunensis
Odontella,Polar-centric-Mediophyceae,rank_7,Odontella,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Odontella,
Odontella_sinensis,Odontella,rank_8,Odontella_sinensis,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Odontella,Odontella_sinensis
Porphyra,Bangiaceae,rank_7,Porphyra,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,
Porphyra_purpurea,Porphyra,rank_8,Porphyra_purpurea,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra_purpurea
Kryptoperidinium,Kryptoperidiniaceae,rank_7,Kryptoperidinium,Root,nucleus,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Kryptoperidinium,
Kryptoperidinium_foliaceum,Kryptoperidinium,rank_8,Kryptoperidinium_foliaceum,Root,nucleus,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Kryptoperidinium,Kryptoperidinium_foliaceum
Phaeodactylum,Raphid-pennate,rank_7,Phaeodactylum,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Phaeodactylum,
Phaeodactylum_tricornutum,Phaeodactylum,rank_8,Phaeodactylum_tricornutum,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Phaeodactylum,Phaeodactylum_tricornutum
